category,action_type,guard_id,guard_name,description,risk,providers,direction,preset_tier,match_summary,action,notes
# ────────────────────────────────────────────────────────────────────────────────
# MESSAGING — sending messages, emails, chat, channel posts, replies
# ────────────────────────────────────────────────────────────────────────────────
messaging,send_email,msg-profanity-email,Profanity filter (email),Block outbound emails whose body contains profane or offensive language,high,google;microsoft,request,standard,POST /gmail/v1/.../send OR /v1.0/me/sendMail — body.content matches profanity wordlist,deny,Body condition: path=content/body op=matches value=profanity_regex
messaging,send_email,msg-pii-email,PII guard (email body),Block or flag emails containing SSNs credit cards or other PII in the body,high,google;microsoft,request,standard,POST send endpoints — body content scanned for PII patterns,require_approval,Body conditions for SSN/CC/phone patterns in message body
messaging,send_email,msg-recipient-limit-email,Recipient limit (email),Require approval when sending to more than N recipients (To+Cc+Bcc),medium,google;microsoft,request,standard,POST send — count of toRecipients+ccRecipients+bccRecipients > threshold,require_approval,Threshold configurable (default: 10). Prevents mass blast
messaging,send_email,msg-external-domain-email,External domain guard (email),Require approval when sending to recipients outside the org domain,high,google;microsoft,request,strict,POST send — recipient domain not in org allowlist,require_approval,Compare recipient domains vs configured org domain(s)
messaging,send_email,msg-attachment-guard-email,Attachment type guard (email),Block emails with executable or script attachments,high,google;microsoft,request,standard,POST send — attachment MIME type in deny list (.exe .bat .ps1 .sh .js),deny,Prevents accidental/malicious executable distribution
messaging,send_chat,msg-profanity-chat,Profanity filter (chat),Block chat messages containing profane or offensive language,medium,microsoft;telegram,request,standard,POST chat/sendMessage endpoints — body.content/text matches profanity,deny,Applies to Teams chats and Telegram sendMessage
messaging,send_chat,msg-pii-chat,PII guard (chat),Block or flag chat messages containing PII,medium,microsoft;telegram,request,standard,POST chat/sendMessage — body scanned for PII,require_approval,Lower risk than email (usually 1:1) but still important
messaging,send_chat,msg-link-guard-chat,External link guard (chat),Flag messages containing URLs to external domains,low,microsoft;telegram,request,strict,POST chat/sendMessage — body.content contains URL not in allowlist,require_approval,Prevents phishing link distribution via bot
messaging,post_channel,msg-profanity-channel,Profanity filter (channel post),Block channel/group posts containing profane language,high,microsoft;telegram,request,standard,POST channel messages endpoint — body.content matches profanity,deny,Higher risk: channel posts reach many people
messaging,post_channel,msg-pii-channel,PII guard (channel post),Block channel posts containing PII,high,microsoft;telegram,request,standard,POST channel messages — body scanned for PII,deny,Audience amplification makes PII leaks worse in channels
messaging,post_channel,msg-audience-limit-channel,Audience size guard (channel),Require approval for posts to channels/groups with many members,high,microsoft;telegram,request,strict,POST channel messages — check channel member count > threshold,require_approval,Threshold configurable (default: 50). Prevents accidental blast to large audiences
messaging,reply,msg-profanity-reply,Profanity filter (reply),Block reply messages containing profane language,medium,google;microsoft;telegram,request,standard,POST reply endpoints — body matches profanity,deny,Same guard as send but scoped to reply endpoints
messaging,forward,msg-forward-guard,Forward message guard,Require approval or block message forwarding,medium,telegram,request,strict,POST /bot.*/forwardMessage — all forwards require approval,require_approval,Forwarding can leak context to unintended recipients
# ────────────────────────────────────────────────────────────────────────────────
# FILE SHARING — uploading sharing and managing files
# ────────────────────────────────────────────────────────────────────────────────
file_sharing,share_file,fs-public-share-block,Block public sharing,Block sharing files with public/anonymous access,high,google;microsoft,request,standard,POST permissions (type=anyone) or invite (requireSignIn=false),deny,Prevents accidental public exposure of internal documents
file_sharing,share_file,fs-external-share-guard,External sharing guard,Require approval for sharing with external users/domains,high,google;microsoft,request,strict,POST permissions/invite — recipient domain not in org,require_approval,Org domain checked against configured allowlist
file_sharing,share_file,fs-link-sharing-block,Block link sharing,Block creating shareable links (domain-wide or public),medium,google,request,strict,POST permissions (type=domain),deny,Prevents org-wide link sharing of sensitive docs
file_sharing,upload_file,fs-file-type-guard,File type guard (upload),Block uploading executable or script files,high,google;microsoft,request,standard,POST upload — file MIME type or extension in deny list,deny,Deny: .exe .bat .ps1 .sh .js .vbs .msi .dll
file_sharing,upload_file,fs-file-size-guard,File size guard,Require approval for uploads exceeding size threshold,medium,google;microsoft,request,strict,POST upload — Content-Length or file size > threshold,require_approval,Threshold configurable (default: 25MB). Prevents large accidental uploads
file_sharing,upload_file,fs-sensitive-filename,Sensitive filename guard,Block uploads with filenames suggesting credentials or secrets,high,google;microsoft,request,standard,POST upload — filename matches pattern (password* secret* credential* .env .pem),deny,Prevents accidental credential file uploads
file_sharing,send_media,fs-media-type-telegram,Media type guard (Telegram),Restrict which media types can be sent,medium,telegram,request,standard,POST send(Photo|Document|Video|Audio) — check content type,require_approval,Approval for document sending; photos/videos may auto-allow
# ────────────────────────────────────────────────────────────────────────────────
# CALENDAR — creating modifying and inviting to events
# ────────────────────────────────────────────────────────────────────────────────
calendar,create_event,cal-external-attendee,External attendee guard,Require approval when inviting attendees outside the org,high,google;microsoft,request,strict,POST events — attendee email domain not in org allowlist,require_approval,Prevents accidental external calendar exposure
calendar,create_event,cal-large-meeting,Large meeting guard,Require approval for events with many attendees,medium,google;microsoft,request,standard,POST events — attendees count > threshold,require_approval,Threshold configurable (default: 20). Prevents mass invite blast
calendar,create_event,cal-off-hours,Off-hours booking guard,Flag events created outside business hours,low,google;microsoft,request,strict,POST events — start time outside configured business hours,require_approval,Business hours configurable per timezone
calendar,modify_event,cal-cancel-guard,Event cancellation guard,Require approval before canceling events with attendees,medium,google;microsoft,request,standard,DELETE events with attendees — prevent accidental mass cancellation,require_approval,Only triggers if event has 2+ attendees
# ────────────────────────────────────────────────────────────────────────────────
# DATA READING — reading contacts directories and sensitive information
# ────────────────────────────────────────────────────────────────────────────────
data_reading,read_contacts,dr-strip-contact-pii,Strip contact PII,Remove phone numbers addresses and birthdays from contact responses,medium,google;microsoft,response,strict,GET /people/v1 or /v1.0/users — strip denyFields + redact patterns,filter,denyFields: phoneNumbers addresses birthdays mobilePhone businessPhones
data_reading,read_contacts,dr-redact-contact-email,Redact contact emails,Redact email addresses in contact/directory responses,medium,google;microsoft,response,strict,GET contacts/users — redact email patterns,filter,Redact type: email
data_reading,read_messages,dr-redact-message-pii,Redact PII in messages,Redact PII (SSN phone credit_card) found in read message responses,medium,google;microsoft;telegram,response,standard,GET messages/threads/chats — redact PII patterns in body,filter,Standard PII redaction: email phone ssn credit_card
data_reading,read_files,dr-redact-file-metadata,Redact file metadata PII,Redact owner PII from file listing responses,low,google;microsoft,response,strict,GET drive/files or drives/items — redact owner email/phone,filter,Light-touch: only redacts owner contact info
data_reading,search,dr-rate-limit-search,Search rate limit,Limit search query frequency to prevent data exfiltration,medium,google;microsoft,request,standard,GET search endpoints — max N requests per minute,allow,Enforced via rateLimits.maxRequestsPerHour on policy
# ────────────────────────────────────────────────────────────────────────────────
# DESTRUCTIVE — deleting messages kicking members revoking access
# ────────────────────────────────────────────────────────────────────────────────
destructive,delete_message,dest-delete-msg-block,Block message deletion,Block agent from deleting messages,high,microsoft;telegram,request,strict,DELETE messages or POST deleteMessage,deny,Prevents evidence destruction or disruption
destructive,delete_message,dest-delete-msg-approve,Approve message deletion,Require approval for message deletion,medium,microsoft;telegram,request,standard,DELETE messages or POST deleteMessage,require_approval,Less strict alternative: approve instead of block
destructive,delete_file,dest-delete-file-approve,Approve file deletion,Require approval before deleting files,high,google;microsoft,request,standard,DELETE drive/files or drives/items,require_approval,Prevents accidental data loss
destructive,delete_file,dest-delete-file-block,Block file deletion,Block agent from deleting any files,high,google;microsoft,request,strict,DELETE drive/files or drives/items,deny,Strictest: no file deletion allowed
destructive,kick_member,dest-kick-block,Block member removal,Block agent from kicking/banning members,high,telegram,request,strict,POST ban/kick endpoints,deny,Prevents agent from disrupting group membership
destructive,kick_member,dest-kick-approve,Approve member removal,Require approval before kicking/banning members,high,telegram,request,standard,POST ban/kick endpoints,require_approval,Approval-based alternative
destructive,revoke_permission,dest-revoke-perm-approve,Approve permission revocation,Require approval before revoking file/resource permissions,medium,google;microsoft,request,standard,DELETE permissions endpoints,require_approval,Prevents accidental access revocation
# ────────────────────────────────────────────────────────────────────────────────
# ADMINISTRATIVE — managing roles settings and organizational resources
# ────────────────────────────────────────────────────────────────────────────────
admin,manage_roles,adm-role-change-block,Block role changes,Block agent from modifying user/member roles,high,microsoft,request,strict,PATCH/PUT role assignments,deny,Prevents privilege escalation
admin,manage_settings,adm-settings-approve,Approve settings changes,Require approval for any settings modification,high,google;microsoft,request,standard,PUT/PATCH settings endpoints,require_approval,Catch-all for org/workspace settings changes
admin,manage_members,adm-member-add-approve,Approve member additions,Require approval before adding members to teams/groups,medium,microsoft;telegram,request,standard,POST members endpoints,require_approval,Prevents unauthorized access grants
# ────────────────────────────────────────────────────────────────────────────────
# CONTENT SAFETY — cross-cutting guards applicable to any outbound content
# ────────────────────────────────────────────────────────────────────────────────
content_safety,any_outbound,cs-profanity-global,Global profanity filter,Block any outbound content containing profane language,high,google;microsoft;telegram,request,standard,All POST/PUT/PATCH — body text fields scanned for profanity,deny,Cross-cutting: applies to all write operations
content_safety,any_outbound,cs-pii-global,Global PII guard,Flag any outbound content containing PII,high,google;microsoft;telegram,request,standard,All POST/PUT/PATCH — body scanned for SSN/CC/phone patterns,require_approval,Cross-cutting: applies to all write operations
content_safety,any_outbound,cs-ip-address-guard,IP address leak guard,Block outbound content containing internal IP addresses,medium,google;microsoft;telegram,request,strict,All POST/PUT/PATCH — body matches internal IP ranges (10.x 192.168.x 172.16-31.x),deny,Prevents internal infrastructure exposure
content_safety,any_inbound,cs-pii-redact-global,Global PII redaction,Redact PII from all API responses,medium,google;microsoft;telegram,response,standard,All responses — redact email phone ssn credit_card ip_address,filter,Cross-cutting response filter
