category;integration_id;integration_name;official_status;transport_or_api;auth_pattern;who_collects_credentials;where_credentials_stored;how_openclaw_exposes_to_agent;fetch_send_mode;source_doc
channel;whatsapp;WhatsApp;core;Baileys / WhatsApp Web;QR pairing session (plus allowlists);Onboarding/CLI asks user to pair QR and set policy;~/.openclaw/credentials/whatsapp/<accountId>/creds.json;;;
channel;telegram;Telegram;core;Telegram Bot API (grammY);Bot token;Onboarding/CLI/config/env (BotFather token);Config/env or channels.telegram.tokenFile;Agent does not receive raw secrets;;
channel;discord;Discord;core or plugin package;Discord Bot API + Gateway;Bot token;Onboarding/CLI/config/env;Config/env (tokenFile not yet supported);Agent does not receive raw secrets;;
channel;slack;Slack;core;Slack Bolt + API;Slack bot/app tokens (workspace app);Onboarding/CLI/config/env;Config/env (channels.slack.*);Agent does not receive raw secrets;;
channel;feishu;Feishu (Lark);plugin;Feishu WebSocket event subscription;App credentials;User configures plugin/channel settings;Typically channel config/env in state dir;Agent does not receive raw secrets;;
channel;googlechat;Google Chat;core/plugin-enabled;Google Chat API app + webhook;Service account JSON + audience/webhook settings;Onboarding/CLI/config;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;mattermost;Mattermost;plugin;Mattermost Bot API + WebSocket;Bot token + server/base URL;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;signal;Signal;core;signal-cli bridge;Signal account + signal-cli setup;Wizard can install signal-cli;;;;
channel;bluebubbles;BlueBubbles;plugin package;BlueBubbles macOS server REST/WebSocket;Server URL/password/API creds;User configures BlueBubbles + plugin settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;imessage;iMessage (legacy);core (deprecated);imsg CLI + Messages DB;macOS local access (no remote API token);User installs imsg and grants macOS permissions;channels.imessage.cliPath/dbPath in config;;;
channel;msteams;Microsoft Teams;plugin;Microsoft Bot Framework;Bot app credentials;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;line;LINE;plugin;LINE Messaging API;Channel access token + channel secret;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;nextcloud-talk;Nextcloud Talk;plugin package;Nextcloud Talk bot webhook;botSecret + baseUrl;User creates Nextcloud bot and configures secret;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;matrix;Matrix;plugin package;Matrix client-server API;Access token or password login;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;nostr;Nostr;plugin package;Nostr relays (NIP-04 DMs);Nostr key material;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;tlon;Tlon (Urbit);plugin;Urbit/Tlon API;Ship URL + login code;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;twitch;Twitch;plugin;Twitch IRC;OAuth token / bot account creds;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;zalo;Zalo Bot API;plugin package;Zalo Bot API;App credentials/token;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;zalouser;Zalo Personal;plugin package;zca-cli / personal account bridge;QR login + local session;User logs in via plugin flow;Plugin/session files in state dir + zca local state;Agent does not receive raw secrets;;
channel;webchat;WebChat;core;Gateway WebSocket UI;Gateway auth token/password;User sets gateway auth (wizard auto-generates token by default);~/.openclaw/openclaw.json (+ ~/.openclaw/.env) (gateway.auth.*);Agent does not receive raw secrets;;
model_provider;openai;OpenAI;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;anthropic;Anthropic;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key or Claude setup-token;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;openai-codex;OpenAI Code (Codex);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;opencode;OpenCode Zen;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google;Google Gemini (API);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-vertex;Google Vertex;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);ADC / gcloud auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-antigravity;Google Antigravity;built-in + bundled auth plugin;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-gemini-cli;Google Gemini CLI;built-in + bundled auth plugin;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;zai;Z.AI (GLM);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;vercel-ai-gateway;Vercel AI Gateway;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;openrouter;OpenRouter;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;xai;xAI;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
